Filename                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ResearchReport.swift                 143                15    89.51%          48                 3    93.75%         362                16    95.58%           0                 0         -
ConflictState.swift                  142                20    85.92%          44                 4    90.91%         289                11    96.19%           0                 0         -
RunDirectory.swift                     7                 2    71.43%           5                 2    60.00%          22                 5    77.27%           0                 0         -
WebTransportServer.swift              94                31    67.02%          24                 4    83.33%         226                43    80.97%           0                 0         -
ConversationEngine.swift             429               116    72.96%         186                35    81.18%        1108               154    86.10%           0                 0         -
DeviceProfiles.swift                  38                 8    78.95%          18                 2    88.89%          73                 8    89.04%           0                 0         -
ThreadGrouping.swift                  37                 0   100.00%           9                 0   100.00%          91                 0   100.00%           0                 0         -
AnalystRoles.swift                    10                 2    80.00%           6                 1    83.33%          43                 1    97.67%           0                 0         -
ModelStore.swift                      63                23    63.49%          18                 6    66.67%         142                28    80.28%           0                 0         -
NameLists.swift                       33                 4    87.88%          11                 3    72.73%          56                 3    94.64%           0                 0         -
WebAssets.swift                        7                 1    85.71%           1                 0   100.00%          14                 1    92.86%           0                 0         -
TavilyClient.swift                    56                46    17.86%          26                20    23.08%         200               167    16.50%           0                 0         -
OpenAIResponsesClient.swift          204                99    51.47%          69                29    57.97%         417               195    53.24%           0                 0         -
HTTPServer.swift                     175                58    66.86%          59                16    72.88%         496               100    79.84%           0                 0         -
SampleConversation.swift               3                 3     0.00%           3                 3     0.00%          54                54     0.00%           0                 0         -
StreamPacer.swift                     53                 8    84.91%          27                 1    96.30%         100                10    90.00%           0                 0         -
MLXEngine.swift                      220               211     4.09%          79                75     5.06%         863               844     2.20%           0                 0         -
ChatModels.swift                      91                22    75.82%          55                10    81.82%         227                32    85.90%           0                 0         -
UTF8Text.swift                        17                 2    88.24%           3                 0   100.00%          23                 1    95.65%           0                 0         -
SharedConversationPage.swift          11                 1    90.91%           6                 0   100.00%          97                 0   100.00%           0                 0         -
EngineProtocol.swift                  87                18    79.31%          36                 4    88.89%         155                24    84.52%           0                 0         -
AudienceVote.swift                    46                12    73.91%          22                 3    86.36%          77                13    83.12%           0                 0         -
ThinkingStripper.swift               105                27    74.29%          24                 4    83.33%         175                27    84.57%           0                 0         -
EngineService.swift                  146                31    78.77%          38                13    65.79%         493                42    91.48%           0                 0         -
SocialLibrary.swift                    3                 3     0.00%           3                 3     0.00%           5                 5     0.00%           0                 0         -
ConversationStore.swift               57                 9    84.21%          27                 3    88.89%         168                14    91.67%           0                 0         -
UserSettings.swift                    35                 4    88.57%          15                 4    73.33%          67                 4    94.03%           0                 0         -
ModeratorIdentity.swift               15                 1    93.33%           7                 0   100.00%          31                 0   100.00%           0                 0         -
APIServer.swift                      185               116    37.30%          58                35    39.66%         485               193    60.21%           0                 0         -
TranscriptWriter.swift                34                 3    91.18%          10                 0   100.00%          72                 0   100.00%           0                 0         -
ResearchDirector.swift               182                19    89.56%          78                 9    88.46%         469                 9    98.08%           0                 0         -
ConflictReader.swift                  49                 3    93.88%          17                 2    88.24%         161                 2    98.76%           0                 0         -
Roster.swift                          36                 1    97.22%          18                 0   100.00%          75                 0   100.00%           0                 0         -
DiscussionMode.swift                  41                 7    82.93%          19                 2    89.47%          97                12    87.63%           0                 0         -
CertificateStore.swift                52                18    65.38%          13                 2    84.62%         159                26    83.65%           0                 0         -
WebTools.swift                        29                25    13.79%          15                11    26.67%          88                78    11.36%           0                 0         -
SocialPersonas.swift                 107                10    90.65%          10                 1    90.00%         150                 1    99.33%           0                 0         -
TransportCheck.swift                  97                97     0.00%          27                27     0.00%         216               216     0.00%           0                 0         -
ResearchSession.swift                 81                 5    93.83%          24                 2    91.67%         109                 5    95.41%           0                 0         -
PersonaLibrary.swift                   7                 1    85.71%           7                 1    85.71%          17                 1    94.12%           0                 0         -
WebTransportClient.swift              93                31    66.67%          22                 4    81.82%         241                49    79.67%           0                 0         -
DocumentImport.swift                  58                16    72.41%          14                 5    64.29%         160                21    86.88%           0                 0         -
PromptBuilder.swift                   77                 6    92.21%          34                 3    91.18%         356                 7    98.03%           0                 0         -
Attachments.swift                    151                33    78.15%          38                 8    78.95%         223                30    86.55%           0                 0         -
OpenAIResponsesEngine.swift           95                85    10.53%          34                32     5.88%         246               219    10.98%           0                 0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                               3701              1253    66.14%        1307               392    70.01%        9398              2671    71.58%           0                 0         -
