Filename                                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ChatBotsCore/ResearchReport.swift                       156                12    92.31%          51                 1    98.04%         393                 7    98.22%           0                 0         -
ChatBotsCore/ConflictState.swift                        139                15    89.21%          43                 2    95.35%         284                 5    98.24%           0                 0         -
ChatBotsCore/RunDirectory.swift                          10                 2    80.00%           6                 2    66.67%          33                 5    84.85%           0                 0         -
ChatBotsCore/WebTransportServer.swift                   138                24    82.61%          41                 5    87.80%         383                42    89.03%           0                 0         -
ChatBotsCore/ConversationEngine.swift                   473                90    80.97%         205                25    87.80%        1250               108    91.36%           0                 0         -
ChatBotsCore/DeviceProfiles.swift                        38                 8    78.95%          18                 2    88.89%          73                 8    89.04%           0                 0         -
ChatBotsCore/ErrorText.swift                              9                 1    88.89%           1                 0   100.00%          12                 0   100.00%           0                 0         -
ChatBotsCore/ThreadGrouping.swift                        37                 0   100.00%           9                 0   100.00%          91                 0   100.00%           0                 0         -
ChatBotsCore/AnalystRoles.swift                          10                 2    80.00%           6                 1    83.33%          43                 1    97.67%           0                 0         -
ChatBotsCore/ModelStore.swift                            73                23    68.49%          22                 6    72.73%         176                28    84.09%           0                 0         -
ChatBotsCore/SystemProcess.swift                         92                14    84.78%          18                 2    88.89%         187                14    92.51%           0                 0         -
ChatBotsCore/NameLists.swift                             33                 4    87.88%          11                 3    72.73%          56                 3    94.64%           0                 0         -
ChatBotsCore/WebAssets.swift                              8                 1    87.50%           1                 0   100.00%          16                 1    93.75%           0                 0         -
ChatBotsCore/TavilyClient.swift                          58                27    53.45%          29                14    51.72%         207                80    61.35%           0                 0         -
ChatBotsCore/OpenAIResponsesClient.swift                247                44    82.19%          88                16    81.82%         525                39    92.57%           0                 0         -
ChatBotsCore/ModelCatalog.swift                          11                 0   100.00%           9                 0   100.00%          40                 0   100.00%           0                 0         -
ChatBotsCore/HTTPServer.swift                           275                26    90.55%          95                 5    94.74%         788                31    96.07%           0                 0         -
ChatBotsCore/TextZoom.swift                              16                 2    87.50%          11                 2    81.82%          20                 2    90.00%           0                 0         -
ChatBotsCore/SampleConversation.swift                     3                 3     0.00%           3                 3     0.00%          54                54     0.00%           0                 0         -
ChatBotsCore/StreamPacer.swift                           56                 3    94.64%          28                 0   100.00%         108                 0   100.00%           0                 0         -
ChatBotsCore/MLXEngine.swift                            212                99    53.30%          94                34    63.83%         732               451    38.39%           0                 0         -
ChatBotsCore/TurnLoop.swift                              75                 4    94.67%          18                 2    88.89%         307                 5    98.37%           0                 0         -
ChatBotsCore/ChatModels.swift                            96                17    82.29%          56                 9    83.93%         238                23    90.34%           0                 0         -
ChatBotsCore/UTF8Text.swift                              17                 2    88.24%           3                 0   100.00%          23                 1    95.65%           0                 0         -
ChatBotsCore/SharedConversationPage.swift                10                 1    90.00%           5                 0   100.00%          95                 0   100.00%           0                 0         -
ChatBotsCore/EngineProtocol.swift                        93                11    88.17%          38                 2    94.74%         166                13    92.17%           0                 0         -
ChatBotsCore/AudienceVote.swift                          46                12    73.91%          22                 3    86.36%          77                13    83.12%           0                 0         -
ChatBotsCore/ThinkingStripper.swift                     105                20    80.95%          24                 3    87.50%         175                14    92.00%           0                 0         -
ChatBotsCore/RequestSlot.swift                           11                 0   100.00%           5                 0   100.00%          21                 0   100.00%           0                 0         -
