Filename                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ResearchReport.swift                 156                12    92.31%          51                 1    98.04%         393                 7    98.22%           0                 0         -
ConflictState.swift                  142                20    85.92%          44                 4    90.91%         289                11    96.19%           0                 0         -
RunDirectory.swift                     7                 2    71.43%           5                 2    60.00%          22                 5    77.27%           0                 0         -
WebTransportServer.swift             113                35    69.03%          28                 5    82.14%         298                63    78.86%           0                 0         -
ConversationEngine.swift             450                96    78.67%         194                28    85.57%        1196               121    89.88%           0                 0         -
DeviceProfiles.swift                  38                 8    78.95%          18                 2    88.89%          73                 8    89.04%           0                 0         -
ThreadGrouping.swift                  37                 0   100.00%           9                 0   100.00%          91                 0   100.00%           0                 0         -
AnalystRoles.swift                    10                 2    80.00%           6                 1    83.33%          43                 1    97.67%           0                 0         -
ModelStore.swift                      73                23    68.49%          22                 6    72.73%         176                28    84.09%           0                 0         -
NameLists.swift                       33                 4    87.88%          11                 3    72.73%          56                 3    94.64%           0                 0         -
WebAssets.swift                        7                 1    85.71%           1                 0   100.00%          14                 1    92.86%           0                 0         -
TavilyClient.swift                    58                27    53.45%          29                14    51.72%         207                80    61.35%           0                 0         -
OpenAIResponsesClient.swift          209                45    78.47%          71                15    78.87%         455                49    89.23%           0                 0         -
HTTPServer.swift                     225                35    84.44%          79                 7    91.14%         675                42    93.78%           0                 0         -
SampleConversation.swift               3                 3     0.00%           3                 3     0.00%          54                54     0.00%           0                 0         -
StreamPacer.swift                     56                 3    94.64%          28                 0   100.00%         108                 0   100.00%           0                 0         -
MLXEngine.swift                      211                99    53.08%          93                34    63.44%         731               451    38.30%           0                 0         -
TurnLoop.swift                        75                 4    94.67%          18                 2    88.89%         307                 5    98.37%           0                 0         -
ChatModels.swift                      96                21    78.12%          56                10    82.14%         236                29    87.71%           0                 0         -
UTF8Text.swift                        17                 2    88.24%           3                 0   100.00%          23                 1    95.65%           0                 0         -
SharedConversationPage.swift          11                 1    90.91%           6                 0   100.00%          97                 0   100.00%           0                 0         -
EngineProtocol.swift                  93                17    81.72%          38                 4    89.47%         165                20    87.88%           0                 0         -
AudienceVote.swift                    46                12    73.91%          22                 3    86.36%          77                13    83.12%           0                 0         -
ThinkingStripper.swift               105                20    80.95%          24                 3    87.50%         175                14    92.00%           0                 0         -
EngineService.swift                  173                34    80.35%          44                12    72.73%         559                33    94.10%           0                 0         -
SocialLibrary.swift                    3                 3     0.00%           3                 3     0.00%           5                 5     0.00%           0                 0         -
ConversationStore.swift               64                13    79.69%          32                 6    81.25%         201                32    84.08%           0                 0         -
UserSettings.swift                    35                 4    88.57%          15                 4    73.33%          67                 4    94.03%           0                 0         -
ModeratorIdentity.swift               16                 1    93.75%           9                 0   100.00%          33                 0   100.00%           0                 0         -
APIServer.swift                      195               107    45.13%          64                33    48.44%         510               170    66.67%           0                 0         -
TranscriptWriter.swift                34                 3    91.18%          10                 0   100.00%          72                 0   100.00%           0                 0         -
ResearchDirector.swift               231                22    90.48%          95                14    85.26%         582                14    97.59%           0                 0         -
ConflictReader.swift                  51                 3    94.12%          17                 2    88.24%         188                 2    98.94%           0                 0         -
Roster.swift                          36                 1    97.22%          18                 0   100.00%          75                 0   100.00%           0                 0         -
DiscussionMode.swift                  41                 7    82.93%          19                 2    89.47%          97                12    87.63%           0                 0         -
CertificateStore.swift                52                18    65.38%          13                 2    84.62%         159                26    83.65%           0                 0         -
WebTools.swift                        29                25    13.79%          15                11    26.67%          88                78    11.36%           0                 0         -
SocialPersonas.swift                 107                10    90.65%          10                 1    90.00%         150                 1    99.33%           0                 0         -
TransportCheck.swift                 112                69    38.39%          36                16    55.56%         263               199    24.33%           0                 0         -
ResearchSession.swift                 81                 5    93.83%          24                 2    91.67%         110                 5    95.45%           0                 0         -
PersonaLibrary.swift                   7                 1    85.71%           7                 1    85.71%          17                 1    94.12%           0                 0         -
WebTransportClient.swift             165                52    68.48%          37                 4    89.19%         406                84    79.31%           0                 0         -
DocumentImport.swift                 156                32    79.49%          31                 8    74.19%         352                31    91.19%           0                 0         -
PromptBuilder.swift                  110                12    89.09%          41                 4    90.24%         458                10    97.82%           0                 0         -
Attachments.swift                    150                21    86.00%          39                 5    87.18%         229                16    93.01%           0                 0         -
OpenAIResponsesEngine.swift          108                34    68.52%          33                10    69.70%         274                78    71.53%           0                 0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                               4227               969    77.08%        1471               287    80.49%       10856              1807    83.35%           0                 0         -
